Genome,OG,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG1884,35030000,0,39263000,30898000,39521000,20843000,15392000,45797000,38600000,0,59354000,0,16205000,45145000,20668000,0,46143000,30407000,67327000,41338000,44816000,0,46176000,0,32898000,21508000,0,22753000,45439000,33909000,45758000,41798000,47860000,40772000,39615000,40531000,20738000,0,6377700,46616000,6960200,0,63347000,41684000,44216000,42968000,0,46742000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG1960,0,8711300,65969000,5410900,0,37783000,42893000,0,43621000,0,18443000,7013900,44458000,0,0,9640700,22698000,0,0,30984000,62746000,0,27933000,0,16174000,53810000,0,0,0,26229000,0,0,39571000,8986200,45479000,0,0,17399000,0,0,0,0,10589000,0,51974000,0,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG2885,0,0,18119000,17112000,0,17211000,13824000,15966000,15025000,0,15043000,4695100,0,12302000,14900000,0,15898000,17687000,17043000,18748000,19375000,0,0,0,19000000,14410000,0,16923000,0,16579000,15396000,17869000,10009000,14701000,13605000,18158000,15477000,0,0,10635000,4109900,4950800,18702000,0,17651000,21972000,0,18530000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG2895,0,0,0,8133700,0,7509200,0,0,0,8286500,0,0,0,0,0,0,12072000,0,19016000,10180000,9829000,0,0,0,0,0,8453800,0,8790100,0,0,9015600,10821000,8441400,0,0,0,0,0,0,0,0,11255000,0,6759400,11290000,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG3250,10641000,8505200,12084000,12390000,0,7240200,9164900,11882000,12633000,0,15146000,2225500,11687000,0,0,0,14170000,11107000,14657000,11235000,11222000,0,0,0,0,9913600,0,0,11185000,16900000,0,0,15645000,11475000,0,0,0,0,0,8824000,0,0,0,10200000,0,0,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG3408,0,13094000,21539000,15514000,21289000,11462000,18560000,8883300,14308000,0,0,3159700,10615000,13360000,14067000,19552000,0,14456000,24033000,10407000,15962000,11063000,0,5721800,17307000,14796000,0,10195000,13946000,20209000,15126000,9706700,27130000,17097000,61065000,14674000,20515000,0,0,12783000,13495000,7881900,26858000,6764800,15851000,14637000,9789000,18721000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG4198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20766000,9623100,8229400,0,0,0,0,12157000,0,0,0,0,0,0,21045000,0,0,0,6792800,0,9290100,0,0,0,21049000,0,14471000,0,0,11400000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG4733,46219000,0,21971000,34730000,40678000,23625000,34131000,35415000,0,0,48233000,0,35228000,85008000,42879000,0,39691000,0,45800000,0,0,0,58210000,0,0,16306000,0,59300000,31217000,41519000,46079000,0,41739000,0,74772000,0,0,58945000,0,0,0,0,36606000,56748000,0,37323000,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG4799,61811000,28497000,104160000,58637000,121200000,66828000,65248000,74822000,94722000,19503000,134850000,15463000,61845000,89300000,56662000,32308000,114810000,56159000,112350000,66654000,90392000,0,105200000,0,96477000,66867000,28636000,58134000,98763000,122020000,105180000,69293000,156770000,88288000,121290000,95360000,43595000,27424000,30140000,82211000,3061500,0,156250000,63921000,110510000,138000000,1567400,107090000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG4864,15517000,5187900,12237000,12841000,18443000,6514400,12656000,8574100,0,0,21850000,0,11449000,0,7650100,0,12498000,7291500,20773000,11872000,13499000,0,13103000,0,11996000,11452000,0,0,15372000,16544000,14672000,0,18366000,15784000,15992000,0,9125100,0,0,0,0,0,17170000,10462000,0,22438000,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG5010,0,0,0,0,0,0,0,41446000,0,0,0,0,0,0,17912000,0,47350000,0,0,0,0,0,0,0,37823000,0,0,0,44892000,0,0,37351000,0,0,0,0,0,0,0,0,0,0,0,0,0,31960000,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_UBA932_g_Cryptobacteroides_s_Cryptobacteroides_sp000432515|bin.344,LCOG0093,24065000,0,0,0,0,0,0,0,0,0,0,4327900,0,0,0,0,0,0,0,0,0,4899200,0,3176400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4327500,0,0,0,0,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_UBA932_g_Cryptobacteroides_s_Cryptobacteroides_sp000432515|bin.344,LCOG0514,16786000,0,29906000,23970000,18244000,21419000,26661000,0,29062000,0,35076000,3260200,26452000,16590000,15195000,0,0,26951000,36648000,20374000,23090000,0,28610000,3234600,28812000,24707000,0,15608000,0,15268000,17330000,24239000,21439000,28664000,25130000,33551000,14033000,0,0,24625000,0,0,26913000,20690000,25011000,0,0,32144000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_UBA932_g_Cryptobacteroides_s_Cryptobacteroides_sp000432515|bin.344,LCOG0674,142750000,0,0,0,70744000,0,134360000,150970000,196470000,0,166530000,0,0,144620000,0,18296000,0,118860000,0,160550000,0,0,172760000,0,144070000,0,144500000,146190000,149830000,0,0,0,0,0,0,154270000,118070000,135270000,0,0,0,0,0,0,0,0,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_UBA932_g_Cryptobacteroides_s_Cryptobacteroides_sp000432515|bin.344,LCOG1236,19349000,0,19643000,22993000,68475000,24293000,25543000,45156000,22340000,0,44546000,0,15272000,23075000,26394000,0,50124000,19935000,34756000,27556000,25372000,0,49277000,0,25557000,16161000,16241000,36995000,28431000,33075000,32916000,23437000,42924000,18797000,94499000,37274000,0,10347000,0,24750000,0,0,39782000,20908000,20110000,34577000,0,21576000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_UBA932_g_Cryptobacteroides_s_Cryptobacteroides_sp000432515|bin.344,LCOG1866,55755000,0,73861000,144390000,88587000,143880000,86550000,116250000,82520000,64726000,155500000,0,64825000,65613000,53509000,0,87559000,121810000,154150000,119140000,84555000,1960400,176490000,0,119670000,81224000,121510000,104570000,117500000,51412000,108780000,123660000,92814000,91737000,0,153830000,102980000,86520000,0,92889000,6895100,5240000,60350000,62152000,68476000,98272000,4544000,114010000
