taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Escherichia coli TSDC17.2,COG0377,0,0,0,1875800,4911200,0,0,0,0,0,0,0,0,0,0,0,0,0,1098700
Escherichia coli TSDC17.2,COG0378,2177600,2911000,1211000,2607400,3679100,3228200,3924400,3914700,8283800,4144600,2517500,2914100,1340000,3929600,2775700,4467300,4694700,4418700,5355000
Escherichia coli TSDC17.2,COG0381,0,0,0,0,0,0,0,161740,0,607120,554680,555350,653710,676220,0,840800,858130,0,1298400
Escherichia coli TSDC17.2,COG0386,0,232560,0,233350,273630,0,0,0,0,577420,0,489810,0,0,0,0,413260,0,664940
Escherichia coli TSDC17.2,COG0393,0,0,0,0,0,0,0,0,0,383840,228360,0,0,0,0,0,360000,0,434570
Escherichia coli TSDC17.2,COG0402,11373300,14967500,28135900,19320500,17564700,25969100,22983000,21618900,32119900,13522200,10211100,8980800,5840750,4694190,12230000,11535300,10522300,11904800,14257200
Escherichia coli TSDC17.2,COG0403,4285900,6896200,4489300,6356600,9831600,11817000,17155000,14625000,18325000,5149600,6850300,6702000,6925000,9012200,5405200,12049000,5055000,19880000,13339000
Escherichia coli TSDC17.2,COG0404,16138000,20953000,22491000,18173000,40505000,5100700,11364000,7457000,2776600,11058000,18037000,10663000,11527000,9410100,5021400,11944000,12961000,12302000,42291000
Escherichia coli TSDC17.2,COG0406,0,1148200,1523300,859460,1392600,0,0,0,0,433330,559200,379070,795350,377480,574220,731190,794380,685600,898660
Escherichia coli TSDC17.2,COG0407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745640,0
Escherichia coli TSDC17.2,COG0413,2209200,2580700,1978600,1103900,3599900,5479800,6699200,5888300,9754800,1894800,2511900,2713000,3141800,1124800,3032500,1642600,3432600,7847600,5101400
Escherichia coli TSDC17.2,COG0414,1463500,1411400,2616800,1755100,2969800,2483500,7058900,5776800,6445100,2816200,2833100,2517500,1931400,2089600,3162300,2408500,2977900,3637100,3866700
Escherichia coli TSDC17.2,COG0418,13226000,5715100,10664000,8788700,14330000,3040800,5069500,6890500,10395000,4624300,3873600,4008000,3433000,0,4287600,6148500,4883600,11298000,2847400
Escherichia coli TSDC17.2,COG0421,3509400,2873100,3767200,3521600,4736100,6982900,8703000,4791300,4463100,2156600,3003900,3007700,3091900,2365100,3635500,3387600,3998600,5553000,3704500
Escherichia coli TSDC17.2,COG0422,0,0,195850,0,692480,0,0,114750,0,0,0,0,0,0,0,0,0,0,0
Escherichia coli TSDC17.2,COG0424,0,0,0,0,0,0,0,0,0,343990,0,418660,386750,360130,0,0,0,0,0
Escherichia coli TSDC17.2,COG0431,8732300,3461400,1629600,1565100,6873500,11511000,10339000,7630500,10073000,6908800,4351300,4773900,3827300,4867300,4593600,6459500,4906000,8982500,8303600
Escherichia coli TSDC17.2,COG0433,312110,0,0,790690,0,0,0,0,0,0,365730,227180,0,509590,0,218990,0,0,462750
Escherichia coli TSDC17.2,COG0434,1307800,0,0,474850,402710,0,706140,0,1451900,295450,0,477350,430330,713930,693510,711850,0,889150,523720
Escherichia coli TSDC17.2,COG0436,3564800,1216300,637210,1434500,4301800,0,1277900,0,1056200,2132510,1060600,1124700,2402480,935230,2131000,2358800,1369300,3943900,4012300
