Taxon,Function,DC.M.48.1,DC.H.48.1,DC.M.48.2,NC.1D.48.1,DC.H.48.2,DC.L.48.1,NC.1D.48.2,DC.L.48.2,DC.L.48.3,DC.H.48.3,DC.M.48.3,NC.1D.48.3
MGYG000000032,LCOG0363,50064534,5354068,24949168.33,268133317,45604244.5,96584356.67,27124827.33,47792875.33,16481746,5778112,24280345.33,27482383.33
MGYG000000032,LCOG0370,7344674,0,1550090,56030353,1611267,0,29487142,53889928,172400,0,81559673,51622576
MGYG000000032,LCOG0425,4341905,0,3092609,695684,0,518013,9905265,4217871,6513375.035,0,3328619,7474405
MGYG000000032,LCOG0443,36251892,0,33963610,19993840,2285915,40274502,51532915,37193399,46191379,0,46340916,59646719.8
MGYG000000032,LCOG0445,10566347,7109025,3085856,0,10115491,0,0,5672920,0,1484610.639,46397063,0
MGYG000000032,LCOG0448,2942981,0,16473028,13679553,0,0,18825021,21314924,4715607,0,0,0
MGYG000000032,LCOG0459,1184150286,762348915.8,1218930868,875446022.2,1057313103,1668345399,2269889984,1349012325,959143848.7,483831441.1,1090751237,1537988325
MGYG000000032,LCOG0462,213417,0,0,0,0,95252555,0,0,0,0,104882670,82563847.12
MGYG000000032,LCOG0465,12342914,6456788,6905747,0,4031728,0,0,4912704,0,2468440.288,39680232,0
MGYG000000032,LCOG0480,84782881.67,0,103256210.2,131408770.3,18461322,134544497,142081617.5,196540283.1,95405663.44,10610002,52100072.67,178209449.47000003
MGYG000000032,LCOG0492,98333771.67,9007155,73083162,101405433.8,98389666,64686795.5,115934600,109677433.5,17544594.67,0,43116377,158631748.2
MGYG000000032,LCOG0493,43714082,0,63367043,51155468,139551,118084991,117703209,101660960,58377036,0,32047288,119750573
MGYG000000032,LCOG0495,65841647,0,65665017.4,85430330,11397855,82621882,82575254,81721833,55159589,37652192,64260229,97599019
MGYG000000032,LCOG0510,382068793.8,126437544,324810379.1,232441370.9,20884532.4,284898400,524524183.5,314526363,311604022.3,88002730,328693726.8,484042671.8
MGYG000000032,LCOG0524,106710587,0,137900963,96697251,36763441,129444328,160434245,104004153,102461853,0,113119572,99378907.69
MGYG000000032,LCOG0527,101353920,13472177,97613153.88,90581286,18018557,211799892,300985863,139457444,93570947,20437250,130955118,206164878
MGYG000000032,LCOG0532,71120861.83,269797914,93735826.38,88098328.2,146193756.2,57203674.14,129588920.4,89205814.77,64953850.23,232365380,157162105.3,72022663.19
MGYG000000032,LCOG0539,3650698,1397679,6027655,4886296.75,680823,3458234,19799673,8664612.71,7783040.25,73161.5,9234048,20240854.85
MGYG000000032,LCOG0542,0,0,0,0,3156157.24,0,0,214649,0,973802,0,0
MGYG000000032,LCOG0543,701332,0,814037,2272345,0,2186287,6179053,2932945,2606309,0,1112555,3136807
MGYG000000032,LCOG0550,1388634667,508558383,1314433417,935290279.5,506594629.9,1712586429,2000379846,1418172348,1392146232,428092534.3,1809482265,1690768013
