Genome,OG,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
Bacteroides_caccae,6VGF9,5950400,5423000.0,7419700,5004000,5223600.0,4470400,4209900.0,13633000.0,13690000,1587700.0,0,1725200.0,2779500.0,4010400.0,2889300,3084600,2532400.0,4251400.0,2659500
Bacteroides_caccae,6VK11,0,0.0,0,0,0.0,422890,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,6VS2K,17173000,25864000.0,12468000,24578000,16504000.0,21117000,18192000.0,14100000.0,8890100,6506800.0,4553900,1550500.0,773600.0,3866900.0,9236200,5203900,3008600.0,4577800.0,3424800
Bacteroides_caccae,6W90P,0,0.0,0,0,0.0,0,0.0,0.0,0,211820.0,0,0.0,222850.0,197280.0,463690,0,0.0,0.0,329460
Bacteroides_caccae,6WBSF,0,0.0,0,0,600060.0,1230200,980340.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,6WG4J,0,279460.0,315260,243520,220310.0,0,0.0,751700.0,0,0.0,230910,250720.0,0.0,324260.0,0,0,0.0,233120.0,424100
Bacteroides_caccae,6WZUE,883940,573840.0,0,728290,498090.0,2513100,2637500.0,4586500.0,5627800,2475200.0,1114800,1787100.0,1600400.0,1874900.0,0,1758800,4024300.0,2604200.0,2698300
Bacteroides_caccae,6WZUK,128850000,166930000.0,163470000,149190000,137620000.0,209950000,242110000.0,236300000.0,248190000,329720000.0,240790000,312140000.0,292900000.0,298250000.0,263840000,287750000,283830000.0,177960000.0,241880000
Bacteroides_caccae,6XA2N,0,0.0,790060,0,514560.0,430050,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,6XFHA,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,6XPJD,3091200,2614400.0,0,3030100,0.0,831300,3656700.0,2782300.0,2826200,2281600.0,0,0.0,444380.0,2141400.0,1256600,0,0.0,0.0,0
Bacteroides_caccae,6Y72H,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,856590
Bacteroides_caccae,6YADS,3115100,0.0,0,0,0.0,0,0.0,0.0,0,71422.0,73730,0.0,0.0,0.0,0,0,150680.0,0.0,0
Bacteroides_caccae,6Z0NN,695888550,731020490.0,753406610,659992170,577299020.0,1179615250,1109791900.0,1359969240.0,982126070,351846300.0,260492830,219463650.0,259108810.0,321930200.0,415386980,502771630,537778660.0,649992100.0,550984110
Bacteroides_caccae,6Z1K2,8014900,8887800.0,4172500,8586400,5766600.0,20503000,16009000.0,12997000.0,16606000,2516700.0,75971,0.0,0.0,4020400.0,4143000,1713200,764140.0,4616600.0,3310300
Bacteroides_caccae,6ZBN0,2005500,2701700.0,2011100,2124600,1684700.0,1731100,888000.0,0.0,0,0.0,0,2025200.0,2028900.0,1651800.0,2768500,0,1862400.0,2712900.0,0
Bacteroides_caccae,6ZT2J,0,0.0,3460000,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_caccae,6ZZ29,0,1614300.0,0,3201200,0.0,0,0.0,0.0,0,528000.0,0,0.0,0.0,0.0,0,5035900,0.0,0.0,6913800
Bacteroides_caccae,708SK,298100,897420.0,1733700,866320,715990.0,1785600,2922300.0,4405500.0,2303000,169420.0,149690,0.0,161430.0,284340.0,561370,0,456340.0,676560.0,0
